,0
0,https://www.linkedin.com/in/ababynin?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAivid0B1vM9eu3-GSoLI1bmPqbxMzOD6Sw
1,https://www.linkedin.com/in/romatolmach?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACQFWm4BMg8NRzyobeHgdoQd8VrmDTKj5C8
2,https://www.linkedin.com/in/%D0%B0%D1%80%D1%82%D0%B5%D0%BC-%D1%85%D0%B0%D0%BF%D0%BA%D0%B8%D0%BD-395b46121?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB4_QqEBKrKusSJahDhPrUM_s4cF54u5k9Y
3,https://www.linkedin.com/in/ACoAABU6t5EBmGrwXpkRn4SpR7YRN9kXhIwBuLg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABU6t5EBmGrwXpkRn4SpR7YRN9kXhIwBuLg
4,https://www.linkedin.com/in/ACoAAAKRKD0B8Nas3rWnJScX2JjvU9oLZUCMamA?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAKRKD0B8Nas3rWnJScX2JjvU9oLZUCMamA
5,https://www.linkedin.com/in/aabaranov?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAYi-EMBQUwOuhj6UuYfWdoFjVqdU_VWS3o
6,https://www.linkedin.com/in/maorlov?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA9FujYBVP3g9aIjBAmPhYAcJvad-lFodfc
7,https://www.linkedin.com/in/ACoAABB3-AAB5FbQzjrzxxuaW8pfV7DtWkAIksU?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABB3-AAB5FbQzjrzxxuaW8pfV7DtWkAIksU
8,https://www.linkedin.com/in/dmitrii-gorbetskii-087997217?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADbI5KcBAtNNl21nnM6F8N4t7xiSCraLyYw
9,https://www.linkedin.com/in/ACoAABuniB8BSOe_ezx47H84lEDByMAN1It5cAY?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABuniB8BSOe_ezx47H84lEDByMAN1It5cAY
10,https://www.linkedin.com/in/yan-skukovsky?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADk6PAoB2aup72yBugbQxSKSnQDJ8jrRD3E
11,https://www.linkedin.com/in/bogdan-p-s?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACdU_WIBNQjnbFU1nSTsASrmDX4rzSst_xc
12,https://www.linkedin.com/in/npnan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABogFScBZTquBWc7sfEfj-khLaOjhV9bjpM
13,https://www.linkedin.com/in/ivan-esipov?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADpkxJMBktbdlaXdtotiW0Go3Vj1dMcnzt0
