,0
0,https://www.linkedin.com/in/aserrr?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABSliSMBRHP3LBGivGjyAhVMfVj9UIEPmWM
1,https://www.linkedin.com/in/eduard-e-204977180?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACrbk2QBhJwoSizFTIwTz7SLE_gcTMQW7AM
2,https://www.linkedin.com/in/alexkash?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADp16P8BSe8XcUBn229SyW_KjoFPE8RCnsk
3,https://www.linkedin.com/in/alexey-bykov-8678841ab?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADESt88BFhqd2LV1EHtPxJRfseg4dnIKh44
4,https://www.linkedin.com/in/anastasia-romanova-33890579?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABCvn5wB5ORjpm0MZiApb9pNob4BLc8bgJE
5,https://www.linkedin.com/in/anatoly-cherkasov-6b84b9163?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACcNG6wBYtrocQLbC5U4-3qx-6Do9Jh3DHA
6,https://www.linkedin.com/in/vasily-petuhov-9710481a4?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC-0P2UB49Z_MjYQFfCVe4DBbhKIeRTLvF4
7,https://www.linkedin.com/in/ACoAAAiJTbcBLIhlcN-80dMbU8K36f_oPBQxhE4?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAiJTbcBLIhlcN-80dMbU8K36f_oPBQxhE4
8,https://www.linkedin.com/in/aleksey-rochev-71b001111?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABvxWscBcQTQN57YKPSdpFemQ9TfXbJM_xU
9,https://www.linkedin.com/in/dmitrii-grebenshchikov-492193130?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACAP--4BvnQevQjvlUY4xwneqDPPXwNOAwA
10,https://www.linkedin.com/in/levgeny369?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADS2iy4BqEeZh88lZuylWuCd7uJN5FdG3AE
