;profile_url;post_url;post;reactions_cnt;comments_cnt;reposts_cnt
0;https://www.linkedin.com/in/nikita-balykin-b01414233;;Здравствуйте, я в поиске новой карьерной возможности и буду признателен(а) за вашу поддержку. Заранее благодарю за все рекомендации контактов, советы или возможности, которые вы можете предложить. #OpenToWork;2.0;;1.0
1;https://www.linkedin.com/in/anton-zaglumonin;;Vitali Kashko #Отзывы с благодарностью Вы вдохновляете меня #Потрясающий_наставник;;;
2;https://www.linkedin.com/in/anastasiya-saydazimova;;UPD: Всем огромное спасибо! Работа найдена 😎 Привет! Я сейчас открыта для новых интересных проектов и теперь в поиске работы в качестве Project Manager.Из туризма в digital и вновь расту!Я умею покорять сердца команды и клиентов.SEO-оптимизация была моей основной работой, но я также активно работала над разработкой новых интересных проектов.Окончила курсы BA в 2022, получила хорошую базу PM/BA. Но все-таки поняла, что мотивировать команду на успех — это моё!Конечно же, мне присущи навыки для успешной работы:·Лидерство·Управление командой·Постановка задач·Планирование·Тайм-менеджмент·Ведение переговоров·Аналитика данных·Работа в команде Буду рада репосту и лайку!😉 #project #работа #projectmanager #opentowork #job #opportunity #linkedin #community #juniorpm #recruiter #projectcoordinator #pmassistant #управление;1.0;8.0;4.0
3;https://www.linkedin.com/in/ankhanhi;;Никогда не догадалась, что задача о многоруких бандитах называется так из-за ручных игровых автоматов и их дурной репутации 😅 Задача о многоруких бандитах - это задача выбора оптимального действия из нескольких вариантов с неизвестной до выбора наградой, один из примеров обучения с подкреплением. Узнала об этом буквально сегодня, когда пробовала различные методы для этой задачи (эпсилон-жадная выборка и выборка Томпсона). Оказалось гораздо проще, чем казалось на первый взгляд 🤗 Ниже статья на эту тему, которая очень мне понравилась. Короткая и написана простым языком - приглашаю к прочтению!#ml #machinelearning #datascience;2.0;;
4;https://www.linkedin.com/in/oleh-yudin-a8643bb2;;Real time bidding. New loss function.Online advertising , Real time bidding.In general there are two task in real time bidding.First is a task of optimizing requests choice, second is a optimizing bid prices.A first task answers on a question , what need to buy, to get a revenue.The revenue is get from the target events: Clicks, Conversions …So we may make a model that predict the events. It’s a classification task and may be solve as usual classification problem of binary classification.A second task answers on a question , what price need, to get a more benefit and win an auction .I consider the second task.The second is more complex, need increase number of win bids. Because only a wining bid gives revenue.The trivial solution is to set a bid price little smaller then an expected benefit, for example smaller by 10 % . But this solution is not optimal when there is a limit of our budget, and limits our benefit with 10%.Not bad solution is predict a probability of win and if the probability smaller then a given value increase a bid price. It’s a classification task too.But there is another way. Lets try to find an optimal price of the bid that layers between the loss price and win price, said for the same requests. And then if the win probability for this bid price smaller then some value, we increase the bid price.At first glance, this is a regression problem. But there is one problem. We only know the cost of losing when we lose the auction, but we don't know the next win price. In another case, we know the winning price when we won the auction, but we do not know the price of the next loss.And in general the bid price is a function of an input request. That is a set of categorical and numerical values.Such as : exchange id, app id, city, hour, day of week, language , and so on.Our model need to predict an optimal price for each request.My approach is to use a custom loss function that solves the problem. (I called loss YuLoss.)The loss function is based with MSE loss with little changes, or may base with any other regression loss.The main idea is :If the prediction price less or equivale then the loss price we penalty our model.If the prediction price more then the loss price we don’t penalty our model with MSE loss.If the prediction price less or equavile then the win price we don’t penalty our model.If the prediction price more then the win price we penalty our model with MSE loss.MSE (target, prediction) , if prediction <= target and result == no win else 0YuLoss =MSE (target, prediction), if prediction > target and result == win else 0The Model was made with using Catboost lib:Inputs: a list of vectors of categorical features.Targets : a list of prices and results - win/ no win.Data set of 10 M rows.The solution has given the optimal prices that in sum less then initial prices on 70 %.By the way a win rate decrease only 5%.The experiment was made with A\ B test.;1.0;;
5;https://www.linkedin.com/in/tagir-data-analyst;;С удовольствием сообщаю, что я начинаю работу в новой должности – Senior Data Analyst в компании Alfa-Bank!;8.0;2.0;
6;https://www.linkedin.com/in/neokami;;Just curious  :) We all know tons of the rules and best practices in the data analysis & visualization world. However, have you ever thought how many of them have some real scientific proof underlying? Nope, this is not about the data science, but this is about the science behind the data scenes. What of the BI-wise statements would you like the most to get proven by the true scientific methods? ⚗ Data culture of the stakeholders defines the dashboards' complexity⚗ Psychophysiological concept of the human perception matters, users' attention can be controlled directly and indirectly⚗ Painstakingly designed reports always work better than default-designed⚗ ... anything else?..#dataanalytics #datavisualization #visualization #dataanalysis #data #science;;;
7;https://www.linkedin.com/in/sshkarin;;A Cloud Guru Machine Learning for Absolute Beginners;1.0;;
8;https://www.linkedin.com/in/nikolay-kolyaskin;;Ищу работу фронтенд раработчика, либо верстальщика.Програмирование изучал самостоятельно.Опыт получал работая над своим проектом интернет-магазина и на фрилансе.Очень хочется найти команду с которой можно будет продолжить развитие.Готов к релокации.Буду благодарен, если поделитесь моим постом с друзьями и коллегами.#резюме #CV #frontend #htmlCooder;2.0;;2.0
9;https://www.linkedin.com/in/alexsvetlakov;;"Use named functions for #React component instead of anonymous, if you wanna see better error stack trace. #javascript #webdevelopement// goodReact.memo(function Button() {});// badReact.memo(function () {});React.memo(() => {});";;;
10;https://www.linkedin.com/in/anastasiya-saydazimova;;I am currently looking for a job as a Java Developer. I will be glad for any of your help. Please support me, like this post and maybe repost :>#javadeveloper #javatraining  #developer #job #help #like #resume;5.0;6.0;9.0
11;https://www.linkedin.com/in/sshkarin;;DataCamp Foundations of Predictive Analytics in Python(Part 1);;;
12;https://www.linkedin.com/in/averkieff;;Сходил на семинар Fundamental AI. Про BERT Михаил Бурцев рассказывает, на мой взгляд, по-интересней, но про половое размножение архитектур послушать было тоже любопытно. Mikhail Burtsev МегаФон #machinelearning #geneticalgorithms #datascience #deeppavlov;3.0;1.0;
13;https://www.linkedin.com/in/anastasiya-saydazimova;;Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork;3.0;2.0;8.0
14;https://www.linkedin.com/in/averkieff;;Transatlantic Cable podcast, episode 96;;;
